,Story,Serial,Episode,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions),AI,Season,Doctor,Lead Actor
74,16,8,32,The Chase,"""Flight Through Eternity""",Richard Martin,Terry Nation,1965-06-05,R,9.0,55,2,First Doctor,William Hartnell
75,16,8,33,The Chase,"""Journey into Terror""",Richard Martin,Terry Nation,1965-06-12,R,9.5,54,2,First Doctor,William Hartnell
76,16,8,34,The Chase,"""The Death of Doctor Who""",Richard Martin,Terry Nation,1965-06-19,R,9.0,56,2,First Doctor,William Hartnell
77,16,8,35,The Chase,"""The Planet of Decision""",Richard Martin and Douglas Camfield (uncredited),Terry Nation,1965-06-26,R,9.5,57,2,First Doctor,William Hartnell
78,17,9,36,The Time Meddler,"""The Watcher""",Douglas Camfield,Dennis Spooner,1965-07-03,S,8.9,57,2,First Doctor,William Hartnell
79,17,9,37,The Time Meddler,"""The Meddling Monk""",Douglas Camfield,Dennis Spooner,1965-07-10,S,8.8,49,2,First Doctor,William Hartnell
80,17,9,38,The Time Meddler,"""A Battle of Wits""",Douglas Camfield,Dennis Spooner,1965-07-17,S,7.7,53,2,First Doctor,William Hartnell
81,17,9,39,The Time Meddler,"""Checkmate""",Douglas Camfield,Dennis Spooner,1965-07-24,S,8.3,54,2,First Doctor,William Hartnell
82,18,1,1,Galaxy 4,"""Four Hundred Dawns""†",Derek Martinus,William Emms,1965-09-11,T,9.0,56,3,First Doctor,William Hartnell
83,18,1,2,Galaxy 4,"""Trap of Steel""†",Derek Martinus,William Emms,1965-09-18,T,9.5,55,3,First Doctor,William Hartnell
84,18,1,3,Galaxy 4,"""Air Lock""",Derek Martinus,William Emms,1965-09-25,T,11.3,54,3,First Doctor,William Hartnell
85,18,1,4,Galaxy 4,"""The Exploding Planet""†",Derek Martinus,William Emms,1965-10-02,T,9.9,53,3,First Doctor,William Hartnell
86,19,2,5,"""Mission to the Unknown""†",,Derek Martinus,Terry Nation,1965-10-09,T/A,8.3,54,3,First Doctor,William Hartnell
87,20,3,6,The Myth Makers,"""Temple of Secrets""†",Michael Leeston-Smith,Donald Cotton,1965-10-16,U,8.3,48,3,First Doctor,William Hartnell
88,20,3,7,The Myth Makers,"""Small Prophet, Quick Return""†",Michael Leeston-Smith,Donald Cotton,1965-10-23,U,8.1,51,3,First Doctor,William Hartnell
89,20,3,8,The Myth Makers,"""Death of a Spy""†",Michael Leeston-Smith,Donald Cotton,1965-10-30,U,8.7,49,3,First Doctor,William Hartnell
90,20,3,9,The Myth Makers,"""Horse of Destruction""†",Michael Leeston-Smith,Donald Cotton,1965-11-06,U,8.3,52,3,First Doctor,William Hartnell
91,21,4,10,The Daleks' Master Plan,"""The Nightmare Begins""†",Douglas Camfield,Terry Nation,1965-11-13,V,9.1,54,3,First Doctor,William Hartnell
92,21,4,11,The Daleks' Master Plan,"""Day of Armageddon""",Douglas Camfield,Terry Nation,1965-11-20,V,9.8,52,3,First Doctor,William Hartnell
93,21,4,12,The Daleks' Master Plan,"""Devil's Planet""†",Douglas Camfield,Terry Nation,1965-11-27,V,10.3,52,3,First Doctor,William Hartnell
94,21,4,13,The Daleks' Master Plan,"""The Traitors""†",Douglas Camfield,Terry Nation,1965-12-04,V,9.5,51,3,First Doctor,William Hartnell
95,21,4,14,The Daleks' Master Plan,"""Counter Plot""",Douglas Camfield,Terry Nation,1965-12-11,V,9.9,53,3,First Doctor,William Hartnell
96,21,4,15,The Daleks' Master Plan,"""Coronas of the Sun""†",Douglas Camfield,Dennis Spooner,1965-12-18,V,9.1,56,3,First Doctor,William Hartnell
97,21,4,16,The Daleks' Master Plan,"""The Feast of Steven""†",Douglas Camfield,Terry Nation,1965-12-25,V,7.9,39,3,First Doctor,William Hartnell
98,21,4,17,The Daleks' Master Plan,"""Volcano""†",Douglas Camfield,Dennis Spooner,1966-01-01,V,9.6,49,3,First Doctor,William Hartnell
99,21,4,18,The Daleks' Master Plan,"""Golden Death""†",Douglas Camfield,Dennis Spooner,1966-01-08,V,9.2,52,3,First Doctor,William Hartnell
100,21,4,19,The Daleks' Master Plan,"""Escape Switch""",Douglas Camfield,Dennis Spooner,1966-01-15,V,9.5,50,3,First Doctor,William Hartnell
101,21,4,20,The Daleks' Master Plan,"""The Abandoned Planet""†",Douglas Camfield,Dennis Spooner,1966-01-22,V,9.8,49,3,First Doctor,William Hartnell
102,21,4,21,The Daleks' Master Plan,"""Destruction of Time""†",Douglas Camfield,Dennis Spooner,1966-01-29,V,8.6,57,3,First Doctor,William Hartnell
103,22,5,22,The Massacre of St Bartholomew's Eve,"""War of God""†",Paddy Russell,John Lucarotti,1966-02-05,W,8.0,52,3,First Doctor,William Hartnell
104,22,5,23,The Massacre of St Bartholomew's Eve,"""The Sea Beggar""†",Paddy Russell,John Lucarotti,1966-02-12,W,6.0,52,3,First Doctor,William Hartnell
105,22,5,24,The Massacre of St Bartholomew's Eve,"""Priest of Death""†",Paddy Russell,John Lucarotti,1966-02-19,W,5.9,49,3,First Doctor,William Hartnell
106,22,5,25,The Massacre of St Bartholomew's Eve,"""Bell of Doom""†",Paddy Russell,John Lucarotti and Donald Tosh,1966-02-26,W,5.8,53,3,First Doctor,William Hartnell
107,23,6,26,The Ark,"""The Steel Sky""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-05,X,5.5,55,3,First Doctor,William Hartnell
108,23,6,27,The Ark,"""The Plague""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-12,X,6.9,56,3,First Doctor,William Hartnell
109,23,6,28,The Ark,"""The Return""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-19,X,6.2,51,3,First Doctor,William Hartnell
110,23,6,29,The Ark,"""The Bomb""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-26,X,7.3,50,3,First Doctor,William Hartnell
111,24,7,30,The Celestial Toymaker,"""The Celestial Toyroom""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-02,Y,8.0,48,3,First Doctor,William Hartnell
112,24,7,31,The Celestial Toymaker,"""The Hall of Dolls""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-09,Y,8.0,49,3,First Doctor,William Hartnell
113,24,7,32,The Celestial Toymaker,"""The Dancing Floor""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-16,Y,9.4,44,3,First Doctor,William Hartnell
114,24,7,33,The Celestial Toymaker,"""The Final Test""",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-23,Y,7.8,43,3,First Doctor,William Hartnell
115,25,8,34,The Gunfighters,"""A Holiday for the Doctor""",Rex Tucker,Donald Cotton,1966-04-30,Z,6.5,45,3,First Doctor,William Hartnell
116,25,8,35,The Gunfighters,"""Don't Shoot the Pianist""",Rex Tucker,Donald Cotton,1966-05-07,Z,6.6,39,3,First Doctor,William Hartnell
117,25,8,36,The Gunfighters,"""Johnny Ringo""",Rex Tucker,Donald Cotton,1966-05-14,Z,6.2,36,3,First Doctor,William Hartnell
118,25,8,37,The Gunfighters,"""The O.K. Corral""",Rex Tucker,Donald Cotton,1966-05-21,Z,5.7,30,3,First Doctor,William Hartnell
119,26,9,38,The Savages,"""Episode 1""†",Christopher Barry,Ian Stuart Black,1966-05-28,AA,4.8,48,3,First Doctor,William Hartnell
120,26,9,39,The Savages,"""Episode 2""†",Christopher Barry,Ian Stuart Black,1966-06-04,AA,5.6,49,3,First Doctor,William Hartnell
121,26,9,40,The Savages,"""Episode 3""†",Christopher Barry,Ian Stuart Black,1966-06-11,AA,5.0,48,3,First Doctor,William Hartnell
122,26,9,41,The Savages,"""Episode 4""†",Christopher Barry,Ian Stuart Black,1966-06-18,AA,4.5,48,3,First Doctor,William Hartnell
123,27,10,42,The War Machines,"""Episode 1""",Michael Ferguson,Ian Stuart Black,1966-06-25,BB,5.4,49,3,First Doctor,William Hartnell
124,27,10,43,The War Machines,"""Episode 2""",Michael Ferguson,Ian Stuart Black,1966-07-02,BB,4.7,45,3,First Doctor,William Hartnell
125,27,10,44,The War Machines,"""Episode 3""",Michael Ferguson,Ian Stuart Black,1966-07-09,BB,5.3,44,3,First Doctor,William Hartnell
126,27,10,45,The War Machines,"""Episode 4""",Michael Ferguson,Ian Stuart Black,1966-07-16,BB,5.5,39,3,First Doctor,William Hartnell
127,28,1,1,The Smugglers,"""Episode 1""†",Julia Smith,Brian Hayles,1966-09-10,CC,4.3,47,4,Second Doctor,Patrick Troughton
128,28,1,2,The Smugglers,"""Episode 2""†",Julia Smith,Brian Hayles,1966-09-17,CC,4.9,45,4,Second Doctor,Patrick Troughton
129,28,1,3,The Smugglers,"""Episode 3""†",Julia Smith,Brian Hayles,1966-09-24,CC,4.2,43,4,Second Doctor,Patrick Troughton
130,28,1,4,The Smugglers,"""Episode 4""†",Julia Smith,Brian Hayles,1966-10-01,CC,4.5,43,4,Second Doctor,Patrick Troughton
131,29,2,5,The Tenth Planet,"""Episode 1""",Derek Martinus,Kit Pedler,1966-10-08,DD,5.5,50,4,Second Doctor,Patrick Troughton
132,29,2,6,The Tenth Planet,"""Episode 2""",Derek Martinus,Kit Pedler,1966-10-15,DD,6.4,48,4,Second Doctor,Patrick Troughton
133,29,2,7,The Tenth Planet,"""Episode 3""",Derek Martinus,Kit Pedler and Gerry Davis,1966-10-22,DD,7.6,48,4,Second Doctor,Patrick Troughton
134,29,2,8,The Tenth Planet,"""Episode 4""†",Derek Martinus,Kit Pedler and Gerry Davis,1966-10-29,DD,7.5,47,4,Second Doctor,Patrick Troughton
135,30,3,9,The Power of the Daleks,"""Episode One""†",Christopher Barry,David Whitaker,1966-11-05,EE,7.9,43,4,Second Doctor,Patrick Troughton
136,30,3,10,The Power of the Daleks,"""Episode Two""†",Christopher Barry,David Whitaker,1966-11-12,EE,7.8,45,4,Second Doctor,Patrick Troughton
137,30,3,11,The Power of the Daleks,"""Episode Three""†",Christopher Barry,David Whitaker,1966-11-19,EE,7.5,44,4,Second Doctor,Patrick Troughton
138,30,3,12,The Power of the Daleks,"""Episode Four""†",Christopher Barry,David Whitaker,1966-11-26,EE,7.8,47,4,Second Doctor,Patrick Troughton
139,30,3,13,The Power of the Daleks,"""Episode Five""†",Christopher Barry,David Whitaker,1966-12-03,EE,8.0,48,4,Second Doctor,Patrick Troughton
140,30,3,14,The Power of the Daleks,"""Episode Six""†",Christopher Barry,David Whitaker,1966-12-10,EE,7.8,47,4,Second Doctor,Patrick Troughton
141,31,4,15,The Highlanders,"""Episode 1""†",Hugh David,Elwyn Jones and Gerry Davis,1966-12-17,FF,6.7,47,4,Second Doctor,Patrick Troughton
142,31,4,16,The Highlanders,"""Episode 2""†",Hugh David,Elwyn Jones and Gerry Davis,1966-12-24,FF,6.8,46,4,Second Doctor,Patrick Troughton
143,31,4,17,The Highlanders,"""Episode 3""†",Hugh David,Elwyn Jones and Gerry Davis,1966-12-31,FF,7.4,47,4,Second Doctor,Patrick Troughton
144,31,4,18,The Highlanders,"""Episode 4""†",Hugh David,Elwyn Jones and Gerry Davis,1967-01-07,FF,7.3,47,4,Second Doctor,Patrick Troughton
145,32,5,19,The Underwater Menace,"""Episode 1""†",Julia Smith,Geoffrey Orme,1967-01-14,GG,8.3,48,4,Second Doctor,Patrick Troughton
146,32,5,20,The Underwater Menace,"""Episode 2""",Julia Smith,Geoffrey Orme,1967-01-21,GG,7.5,46,4,Second Doctor,Patrick Troughton
147,32,5,21,The Underwater Menace,"""Episode 3""",Julia Smith,Geoffrey Orme,1967-01-28,GG,7.1,45,4,Second Doctor,Patrick Troughton
148,32,5,22,The Underwater Menace,"""Episode 4""†",Julia Smith,Geoffrey Orme,1967-02-04,GG,7.0,47,4,Second Doctor,Patrick Troughton
149,33,6,23,The Moonbase,"""Episode 1""†",Morris Barry,Kit Pedler,1967-02-11,HH,8.1,50,4,Second Doctor,Patrick Troughton
150,33,6,24,The Moonbase,"""Episode 2""",Morris Barry,Kit Pedler,1967-02-18,HH,8.9,49,4,Second Doctor,Patrick Troughton
151,33,6,25,The Moonbase,"""Episode 3""†",Morris Barry,Kit Pedler,1967-02-25,HH,8.2,53,4,Second Doctor,Patrick Troughton
152,33,6,26,The Moonbase,"""Episode 4""",Morris Barry,Kit Pedler,1967-03-04,HH,8.1,58,4,Second Doctor,Patrick Troughton
153,34,7,27,The Macra Terror,"""Episode 1""†",John Davies,Ian Stuart Black,1967-03-11,JJ,8.0,50,4,Second Doctor,Patrick Troughton
154,34,7,28,The Macra Terror,"""Episode 2""†",John Davies,Ian Stuart Black,1967-03-18,JJ,7.9,48,4,Second Doctor,Patrick Troughton
155,34,7,29,The Macra Terror,"""Episode 3""†",John Davies,Ian Stuart Black,1967-03-25,JJ,8.5,52,4,Second Doctor,Patrick Troughton
156,34,7,30,The Macra Terror,"""Episode 4""†",John Davies,Ian Stuart Black,1967-04-01,JJ,8.4,49,4,Second Doctor,Patrick Troughton
157,35,8,31,The Faceless Ones,"""Episode 1""",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-08,KK,8.0,51,4,Second Doctor,Patrick Troughton
158,35,8,32,The Faceless Ones,"""Episode 2""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-15,KK,6.4,50,4,Second Doctor,Patrick Troughton
159,35,8,33,The Faceless Ones,"""Episode 3""",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-22,KK,7.9,53,4,Second Doctor,Patrick Troughton
160,35,8,34,The Faceless Ones,"""Episode 4""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-29,KK,6.9,55,4,Second Doctor,Patrick Troughton
161,35,8,35,The Faceless Ones,"""Episode 5""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-05-06,KK,7.1,55,4,Second Doctor,Patrick Troughton
162,35,8,36,The Faceless Ones,"""Episode 6""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-05-13,KK,8.0,52,4,Second Doctor,Patrick Troughton
163,36,9,37,The Evil of the Daleks,"""Episode 1""†",Derek Martinus,David Whitaker,1967-05-20,LL,8.1,51,4,Second Doctor,Patrick Troughton
164,36,9,38,The Evil of the Daleks,"""Episode 2""",Derek Martinus,David Whitaker,1967-05-27,LL,7.5,51,4,Second Doctor,Patrick Troughton
165,36,9,39,The Evil of the Daleks,"""Episode 3""†",Derek Martinus,David Whitaker,1967-06-03,LL,6.1,52,4,Second Doctor,Patrick Troughton
166,36,9,40,The Evil of the Daleks,"""Episode 4""†",Derek Martinus,David Whitaker,1967-06-10,LL,5.3,51,4,Second Doctor,Patrick Troughton
167,36,9,41,The Evil of the Daleks,"""Episode 5""†",Derek Martinus,David Whitaker,1967-06-17,LL,5.1,53,4,Second Doctor,Patrick Troughton
168,36,9,42,The Evil of the Daleks,"""Episode 6""†",Derek Martinus,David Whitaker,1967-06-24,LL,6.8,49,4,Second Doctor,Patrick Troughton
169,36,9,43,The Evil of the Daleks,"""Episode 7""†",Derek Martinus,David Whitaker,1967-07-01,LL,6.1,56,4,Second Doctor,Patrick Troughton
170,37,1,1,The Tomb of the Cybermen,"""Episode 1""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-02,MM,6.0,53,5,Second Doctor,Patrick Troughton
171,37,1,2,The Tomb of the Cybermen,"""Episode 2""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-09,MM,6.4,52,5,Second Doctor,Patrick Troughton
172,37,1,3,The Tomb of the Cybermen,"""Episode 3""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-16,MM,7.2,49,5,Second Doctor,Patrick Troughton
173,37,1,4,The Tomb of the Cybermen,"""Episode 4""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-23,MM,7.4,50,5,Second Doctor,Patrick Troughton
174,38,2,5,The Abominable Snowmen,"""Episode One""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-09-30,NN,6.3,50,5,Second Doctor,Patrick Troughton
175,38,2,6,The Abominable Snowmen,"""Episode Two""",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-10-07,NN,6.0,52,5,Second Doctor,Patrick Troughton
176,38,2,7,The Abominable Snowmen,"""Episode Three""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-10-14,NN,7.1,51,5,Second Doctor,Patrick Troughton
177,38,2,8,The Abominable Snowmen,"""Episode Four""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-10-21,NN,7.1,50,5,Second Doctor,Patrick Troughton
178,38,2,9,The Abominable Snowmen,"""Episode Five""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-10-28,NN,7.2,51,5,Second Doctor,Patrick Troughton
179,38,2,10,The Abominable Snowmen,"""Episode Six""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-11-04,NN,7.4,52,5,Second Doctor,Patrick Troughton
180,39,3,11,The Ice Warriors,"""One""",Derek Martinus,Brian Hayles,1967-11-11,OO,6.7,52,5,Second Doctor,Patrick Troughton
181,39,3,12,The Ice Warriors,"""Two""†",Derek Martinus,Brian Hayles,1967-11-18,OO,7.1,52,5,Second Doctor,Patrick Troughton
