,Story,Serial,Episode,Serial title,Episode Title,Directed by,Written by,Original air date,Prod.code,UK viewers(millions),AI,Season,Doctor,Lead Actor
14,4,4.0,14,Marco Polo,"""The Roof of the World""†",Waris Hussein,John Lucarotti,1964-02-22,D,9.4,63,1,First Doctor,William Hartnell
15,4,4.0,15,Marco Polo,"""The Singing Sands""†",Waris Hussein,John Lucarotti,1964-02-29,D,9.4,62,1,First Doctor,William Hartnell
16,4,4.0,16,Marco Polo,"""Five Hundred Eyes""†",Waris Hussein,John Lucarotti,1964-03-07,D,9.4,62,1,First Doctor,William Hartnell
17,4,4.0,17,Marco Polo,"""The Wall of Lies""†",John Crockett,John Lucarotti,1964-03-14,D,9.9,60,1,First Doctor,William Hartnell
18,4,4.0,18,Marco Polo,"""Rider from Shang-Tu""†",Waris Hussein,John Lucarotti,1964-03-21,D,9.4,59,1,First Doctor,William Hartnell
19,4,4.0,19,Marco Polo,"""Mighty Kublai Khan""†",Waris Hussein,John Lucarotti,1964-03-28,D,8.4,59,1,First Doctor,William Hartnell
20,4,4.0,20,Marco Polo,"""Assassin at Peking""†",Waris Hussein,John Lucarotti,1964-04-04,D,10.4,59,1,First Doctor,William Hartnell
21,5,5.0,21,The Keys of Marinus,"""The Sea of Death""",John Gorrie,Terry Nation,1964-04-11,E,9.9,62,1,First Doctor,William Hartnell
22,5,5.0,22,The Keys of Marinus,"""The Velvet Web""",John Gorrie,Terry Nation,1964-04-18,E,9.4,60,1,First Doctor,William Hartnell
23,5,5.0,23,The Keys of Marinus,"""The Screaming Jungle""",John Gorrie,Terry Nation,1964-04-25,E,9.9,61,1,First Doctor,William Hartnell
24,5,5.0,24,The Keys of Marinus,"""The Snows of Terror""",John Gorrie,Terry Nation,1964-05-02,E,10.4,60,1,First Doctor,William Hartnell
25,5,5.0,25,The Keys of Marinus,"""Sentence of Death""",John Gorrie,Terry Nation,1964-05-09,E,7.9,61,1,First Doctor,William Hartnell
26,5,5.0,26,The Keys of Marinus,"""The Keys of Marinus""",John Gorrie,Terry Nation,1964-05-16,E,6.9,63,1,First Doctor,William Hartnell
27,6,6.0,27,The Aztecs,"""The Temple of Evil""",John Crockett,John Lucarotti,1964-05-23,F,7.4,62,1,First Doctor,William Hartnell
28,6,6.0,28,The Aztecs,"""The Warriors of Death""",John Crockett,John Lucarotti,1964-05-30,F,7.4,62,1,First Doctor,William Hartnell
29,6,6.0,29,The Aztecs,"""The Bride of Sacrifice""",John Crockett,John Lucarotti,1964-06-06,F,7.9,57,1,First Doctor,William Hartnell
30,6,6.0,30,The Aztecs,"""The Day of Darkness""",John Crockett,John Lucarotti,1964-06-13,F,7.4,58,1,First Doctor,William Hartnell
31,7,7.0,31,The Sensorites,"""Strangers in Space""",Mervyn Pinfield,Peter R. Newman,1964-06-20,G,7.9,59,1,First Doctor,William Hartnell
32,7,7.0,32,The Sensorites,"""The Unwilling Warriors""",Mervyn Pinfield,Peter R. Newman,1964-06-27,G,6.9,59,1,First Doctor,William Hartnell
33,7,7.0,33,The Sensorites,"""Hidden Danger""",Mervyn Pinfield,Peter R. Newman,1964-07-11,G,7.4,56,1,First Doctor,William Hartnell
34,7,7.0,34,The Sensorites,"""A Race Against Death""",Mervyn Pinfield,Peter R. Newman,1964-07-18,G,5.5,60,1,First Doctor,William Hartnell
35,7,7.0,35,The Sensorites,"""Kidnap""",Frank Cox,Peter R. Newman,1964-07-25,G,6.9,57,1,First Doctor,William Hartnell
36,7,7.0,36,The Sensorites,"""A Desperate Venture""",Frank Cox,Peter R. Newman,1964-08-01,G,6.9,57,1,First Doctor,William Hartnell
37,8,8.0,37,The Reign of Terror,"""A Land of Fear""",Henric Hirsch,Dennis Spooner,1964-08-08,H,6.9,58,1,First Doctor,William Hartnell
38,8,8.0,38,The Reign of Terror,"""Guests of Madame Guillotine""",Henric Hirsch,Dennis Spooner,1964-08-15,H,6.9,54,1,First Doctor,William Hartnell
39,8,8.0,39,The Reign of Terror,"""A Change of Identity""",Henric Hirsch,Dennis Spooner,1964-08-22,H,6.9,55,1,First Doctor,William Hartnell
40,8,8.0,40,The Reign of Terror,"""The Tyrant of France""†",Henric Hirsch,Dennis Spooner,1964-08-29,H,6.4,53,1,First Doctor,William Hartnell
41,8,8.0,41,The Reign of Terror,"""A Bargain of Necessity""†",Henric Hirsch,Dennis Spooner,1964-09-05,H,6.9,53,1,First Doctor,William Hartnell
42,8,8.0,42,The Reign of Terror,"""Prisoners of Conciergerie""",Henric Hirsch,Dennis Spooner,1964-09-12,H,6.4,55,1,First Doctor,William Hartnell
43,9,1.0,1,Planet of Giants,"""Planet of Giants""",Mervyn Pinfield,Louis Marks,1964-10-31,J,8.4,57,2,First Doctor,William Hartnell
44,9,1.0,2,Planet of Giants,"""Dangerous Journey""",Mervyn Pinfield,Louis Marks,1964-11-07,J,8.4,58,2,First Doctor,William Hartnell
45,9,1.0,3,Planet of Giants,"""Crisis""",Douglas Camfield,Louis Marks,1964-11-14,J,8.9,59,2,First Doctor,William Hartnell
46,10,2.0,4,The Dalek Invasion of Earth,"""World's End""",Richard Martin,Terry Nation,1964-11-21,K,11.4,63,2,First Doctor,William Hartnell
47,10,2.0,5,The Dalek Invasion of Earth,"""The Daleks""",Richard Martin,Terry Nation,1964-11-28,K,12.4,59,2,First Doctor,William Hartnell
48,10,2.0,6,The Dalek Invasion of Earth,"""Day of Reckoning""",Richard Martin,Terry Nation,1964-12-05,K,11.9,59,2,First Doctor,William Hartnell
49,10,2.0,7,The Dalek Invasion of Earth,"""The End of Tomorrow""",Richard Martin,Terry Nation,1964-12-12,K,11.9,59,2,First Doctor,William Hartnell
50,10,2.0,8,The Dalek Invasion of Earth,"""The Waking Ally""",Richard Martin,Terry Nation,1964-12-19,K,11.4,58,2,First Doctor,William Hartnell
51,10,2.0,9,The Dalek Invasion of Earth,"""Flashpoint""",Richard Martin,Terry Nation,1964-12-26,K,12.4,63,2,First Doctor,William Hartnell
52,11,3.0,10,The Rescue,"""The Powerful Enemy""",Christopher Barry,David Whitaker,1965-01-02,L,12.0,57,2,First Doctor,William Hartnell
53,11,3.0,11,The Rescue,"""Desperate Measures""",Christopher Barry,David Whitaker,1965-01-09,L,13.0,59,2,First Doctor,William Hartnell
54,12,4.0,12,The Romans,"""The Slave Traders""",Christopher Barry,Dennis Spooner,1965-01-16,M,13.0,53,2,First Doctor,William Hartnell
55,12,4.0,13,The Romans,"""All Roads Lead to Rome""",Christopher Barry,Dennis Spooner,1965-01-23,M,11.5,51,2,First Doctor,William Hartnell
56,12,4.0,14,The Romans,"""Conspiracy""",Christopher Barry,Dennis Spooner,1965-01-30,M,10.0,50,2,First Doctor,William Hartnell
57,12,4.0,15,The Romans,"""Inferno""",Christopher Barry,Dennis Spooner,1965-02-06,M,12.0,50,2,First Doctor,William Hartnell
58,13,5.0,16,The Web Planet,"""The Web Planet""",Richard Martin,Bill Strutton,1965-02-13,N,13.5,56,2,First Doctor,William Hartnell
59,13,5.0,17,The Web Planet,"""The Zarbi""",Richard Martin,Bill Strutton,1965-02-20,N,12.5,53,2,First Doctor,William Hartnell
60,13,5.0,18,The Web Planet,"""Escape to Danger""",Richard Martin,Bill Strutton,1965-02-27,N,12.5,53,2,First Doctor,William Hartnell
61,13,5.0,19,The Web Planet,"""Crater of Needles""",Richard Martin,Bill Strutton,1965-03-06,N,13.0,49,2,First Doctor,William Hartnell
62,13,5.0,20,The Web Planet,"""Invasion""",Richard Martin,Bill Strutton,1965-03-13,N,12.0,48,2,First Doctor,William Hartnell
63,13,5.0,21,The Web Planet,"""The Centre""",Richard Martin,Bill Strutton,1965-03-20,N,11.5,42,2,First Doctor,William Hartnell
64,14,6.0,22,The Crusade,"""The Lion""",Douglas Camfield,David Whitaker,1965-03-27,P,10.5,51,2,First Doctor,William Hartnell
65,14,6.0,23,The Crusade,"""The Knight of Jaffa""†",Douglas Camfield,David Whitaker,1965-04-03,P,8.5,50,2,First Doctor,William Hartnell
66,14,6.0,24,The Crusade,"""The Wheel of Fortune""",Douglas Camfield,David Whitaker,1965-04-10,P,9.0,49,2,First Doctor,William Hartnell
67,14,6.0,25,The Crusade,"""The Warlords""†",Douglas Camfield,David Whitaker,1965-04-17,P,9.5,48,2,First Doctor,William Hartnell
68,15,7.0,26,The Space Museum,"""The Space Museum""",Mervyn Pinfield,Glyn Jones,1965-04-24,Q,10.5,61,2,First Doctor,William Hartnell
69,15,7.0,27,The Space Museum,"""The Dimensions of Time""",Mervyn Pinfield,Glyn Jones,1965-05-01,Q,9.2,53,2,First Doctor,William Hartnell
70,15,7.0,28,The Space Museum,"""The Search""",Mervyn Pinfield,Glyn Jones,1965-05-08,Q,8.5,56,2,First Doctor,William Hartnell
71,15,7.0,29,The Space Museum,"""The Final Phase""",Mervyn Pinfield,Glyn Jones,1965-05-15,Q,8.5,49,2,First Doctor,William Hartnell
72,16,8.0,30,The Chase,"""The Executioners""",Richard Martin,Terry Nation,1965-05-22,R,10.0,57,2,First Doctor,William Hartnell
73,16,8.0,31,The Chase,"""The Death of Time""",Richard Martin,Terry Nation,1965-05-29,R,9.5,56,2,First Doctor,William Hartnell
74,16,8.0,32,The Chase,"""Flight Through Eternity""",Richard Martin,Terry Nation,1965-06-05,R,9.0,55,2,First Doctor,William Hartnell
75,16,8.0,33,The Chase,"""Journey into Terror""",Richard Martin,Terry Nation,1965-06-12,R,9.5,54,2,First Doctor,William Hartnell
76,16,8.0,34,The Chase,"""The Death of Doctor Who""",Richard Martin,Terry Nation,1965-06-19,R,9.0,56,2,First Doctor,William Hartnell
77,16,8.0,35,The Chase,"""The Planet of Decision""",Richard Martin and Douglas Camfield (uncredited),Terry Nation,1965-06-26,R,9.5,57,2,First Doctor,William Hartnell
78,17,9.0,36,The Time Meddler,"""The Watcher""",Douglas Camfield,Dennis Spooner,1965-07-03,S,8.9,57,2,First Doctor,William Hartnell
79,17,9.0,37,The Time Meddler,"""The Meddling Monk""",Douglas Camfield,Dennis Spooner,1965-07-10,S,8.8,49,2,First Doctor,William Hartnell
80,17,9.0,38,The Time Meddler,"""A Battle of Wits""",Douglas Camfield,Dennis Spooner,1965-07-17,S,7.7,53,2,First Doctor,William Hartnell
81,17,9.0,39,The Time Meddler,"""Checkmate""",Douglas Camfield,Dennis Spooner,1965-07-24,S,8.3,54,2,First Doctor,William Hartnell
82,18,1.0,1,Galaxy 4,"""Four Hundred Dawns""†",Derek Martinus,William Emms,1965-09-11,T,9.0,56,3,First Doctor,William Hartnell
83,18,1.0,2,Galaxy 4,"""Trap of Steel""†",Derek Martinus,William Emms,1965-09-18,T,9.5,55,3,First Doctor,William Hartnell
84,18,1.0,3,Galaxy 4,"""Air Lock""",Derek Martinus,William Emms,1965-09-25,T,11.3,54,3,First Doctor,William Hartnell
85,18,1.0,4,Galaxy 4,"""The Exploding Planet""†",Derek Martinus,William Emms,1965-10-02,T,9.9,53,3,First Doctor,William Hartnell
86,19,2.0,5,"""Mission to the Unknown""†",,Derek Martinus,Terry Nation,1965-10-09,T/A,8.3,54,3,First Doctor,William Hartnell
87,20,3.0,6,The Myth Makers,"""Temple of Secrets""†",Michael Leeston-Smith,Donald Cotton,1965-10-16,U,8.3,48,3,First Doctor,William Hartnell
88,20,3.0,7,The Myth Makers,"""Small Prophet, Quick Return""†",Michael Leeston-Smith,Donald Cotton,1965-10-23,U,8.1,51,3,First Doctor,William Hartnell
89,20,3.0,8,The Myth Makers,"""Death of a Spy""†",Michael Leeston-Smith,Donald Cotton,1965-10-30,U,8.7,49,3,First Doctor,William Hartnell
90,20,3.0,9,The Myth Makers,"""Horse of Destruction""†",Michael Leeston-Smith,Donald Cotton,1965-11-06,U,8.3,52,3,First Doctor,William Hartnell
91,21,4.0,10,The Daleks' Master Plan,"""The Nightmare Begins""†",Douglas Camfield,Terry Nation,1965-11-13,V,9.1,54,3,First Doctor,William Hartnell
92,21,4.0,11,The Daleks' Master Plan,"""Day of Armageddon""",Douglas Camfield,Terry Nation,1965-11-20,V,9.8,52,3,First Doctor,William Hartnell
93,21,4.0,12,The Daleks' Master Plan,"""Devil's Planet""†",Douglas Camfield,Terry Nation,1965-11-27,V,10.3,52,3,First Doctor,William Hartnell
94,21,4.0,13,The Daleks' Master Plan,"""The Traitors""†",Douglas Camfield,Terry Nation,1965-12-04,V,9.5,51,3,First Doctor,William Hartnell
95,21,4.0,14,The Daleks' Master Plan,"""Counter Plot""",Douglas Camfield,Terry Nation,1965-12-11,V,9.9,53,3,First Doctor,William Hartnell
96,21,4.0,15,The Daleks' Master Plan,"""Coronas of the Sun""†",Douglas Camfield,Dennis Spooner,1965-12-18,V,9.1,56,3,First Doctor,William Hartnell
97,21,4.0,16,The Daleks' Master Plan,"""The Feast of Steven""†",Douglas Camfield,Terry Nation,1965-12-25,V,7.9,39,3,First Doctor,William Hartnell
98,21,4.0,17,The Daleks' Master Plan,"""Volcano""†",Douglas Camfield,Dennis Spooner,1966-01-01,V,9.6,49,3,First Doctor,William Hartnell
99,21,4.0,18,The Daleks' Master Plan,"""Golden Death""†",Douglas Camfield,Dennis Spooner,1966-01-08,V,9.2,52,3,First Doctor,William Hartnell
100,21,4.0,19,The Daleks' Master Plan,"""Escape Switch""",Douglas Camfield,Dennis Spooner,1966-01-15,V,9.5,50,3,First Doctor,William Hartnell
101,21,4.0,20,The Daleks' Master Plan,"""The Abandoned Planet""†",Douglas Camfield,Dennis Spooner,1966-01-22,V,9.8,49,3,First Doctor,William Hartnell
102,21,4.0,21,The Daleks' Master Plan,"""Destruction of Time""†",Douglas Camfield,Dennis Spooner,1966-01-29,V,8.6,57,3,First Doctor,William Hartnell
103,22,5.0,22,The Massacre of St Bartholomew's Eve,"""War of God""†",Paddy Russell,John Lucarotti,1966-02-05,W,8.0,52,3,First Doctor,William Hartnell
104,22,5.0,23,The Massacre of St Bartholomew's Eve,"""The Sea Beggar""†",Paddy Russell,John Lucarotti,1966-02-12,W,6.0,52,3,First Doctor,William Hartnell
105,22,5.0,24,The Massacre of St Bartholomew's Eve,"""Priest of Death""†",Paddy Russell,John Lucarotti,1966-02-19,W,5.9,49,3,First Doctor,William Hartnell
106,22,5.0,25,The Massacre of St Bartholomew's Eve,"""Bell of Doom""†",Paddy Russell,John Lucarotti and Donald Tosh,1966-02-26,W,5.8,53,3,First Doctor,William Hartnell
107,23,6.0,26,The Ark,"""The Steel Sky""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-05,X,5.5,55,3,First Doctor,William Hartnell
108,23,6.0,27,The Ark,"""The Plague""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-12,X,6.9,56,3,First Doctor,William Hartnell
109,23,6.0,28,The Ark,"""The Return""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-19,X,6.2,51,3,First Doctor,William Hartnell
110,23,6.0,29,The Ark,"""The Bomb""",Michael Imison,Paul Erickson and Lesley Scott,1966-03-26,X,7.3,50,3,First Doctor,William Hartnell
111,24,7.0,30,The Celestial Toymaker,"""The Celestial Toyroom""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-02,Y,8.0,48,3,First Doctor,William Hartnell
112,24,7.0,31,The Celestial Toymaker,"""The Hall of Dolls""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-09,Y,8.0,49,3,First Doctor,William Hartnell
113,24,7.0,32,The Celestial Toymaker,"""The Dancing Floor""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-16,Y,9.4,44,3,First Doctor,William Hartnell
114,24,7.0,33,The Celestial Toymaker,"""The Final Test""",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),1966-04-23,Y,7.8,43,3,First Doctor,William Hartnell
115,25,8.0,34,The Gunfighters,"""A Holiday for the Doctor""",Rex Tucker,Donald Cotton,1966-04-30,Z,6.5,45,3,First Doctor,William Hartnell
116,25,8.0,35,The Gunfighters,"""Don't Shoot the Pianist""",Rex Tucker,Donald Cotton,1966-05-07,Z,6.6,39,3,First Doctor,William Hartnell
117,25,8.0,36,The Gunfighters,"""Johnny Ringo""",Rex Tucker,Donald Cotton,1966-05-14,Z,6.2,36,3,First Doctor,William Hartnell
118,25,8.0,37,The Gunfighters,"""The O.K. Corral""",Rex Tucker,Donald Cotton,1966-05-21,Z,5.7,30,3,First Doctor,William Hartnell
119,26,9.0,38,The Savages,"""Episode 1""†",Christopher Barry,Ian Stuart Black,1966-05-28,AA,4.8,48,3,First Doctor,William Hartnell
120,26,9.0,39,The Savages,"""Episode 2""†",Christopher Barry,Ian Stuart Black,1966-06-04,AA,5.6,49,3,First Doctor,William Hartnell
121,26,9.0,40,The Savages,"""Episode 3""†",Christopher Barry,Ian Stuart Black,1966-06-11,AA,5.0,48,3,First Doctor,William Hartnell
122,26,9.0,41,The Savages,"""Episode 4""†",Christopher Barry,Ian Stuart Black,1966-06-18,AA,4.5,48,3,First Doctor,William Hartnell
123,27,10.0,42,The War Machines,"""Episode 1""",Michael Ferguson,Ian Stuart Black,1966-06-25,BB,5.4,49,3,First Doctor,William Hartnell
124,27,10.0,43,The War Machines,"""Episode 2""",Michael Ferguson,Ian Stuart Black,1966-07-02,BB,4.7,45,3,First Doctor,William Hartnell
125,27,10.0,44,The War Machines,"""Episode 3""",Michael Ferguson,Ian Stuart Black,1966-07-09,BB,5.3,44,3,First Doctor,William Hartnell
126,27,10.0,45,The War Machines,"""Episode 4""",Michael Ferguson,Ian Stuart Black,1966-07-16,BB,5.5,39,3,First Doctor,William Hartnell
127,28,1.0,1,The Smugglers,"""Episode 1""†",Julia Smith,Brian Hayles,1966-09-10,CC,4.3,47,4,Second Doctor,Patrick Troughton
128,28,1.0,2,The Smugglers,"""Episode 2""†",Julia Smith,Brian Hayles,1966-09-17,CC,4.9,45,4,Second Doctor,Patrick Troughton
129,28,1.0,3,The Smugglers,"""Episode 3""†",Julia Smith,Brian Hayles,1966-09-24,CC,4.2,43,4,Second Doctor,Patrick Troughton
130,28,1.0,4,The Smugglers,"""Episode 4""†",Julia Smith,Brian Hayles,1966-10-01,CC,4.5,43,4,Second Doctor,Patrick Troughton
131,29,2.0,5,The Tenth Planet,"""Episode 1""",Derek Martinus,Kit Pedler,1966-10-08,DD,5.5,50,4,Second Doctor,Patrick Troughton
132,29,2.0,6,The Tenth Planet,"""Episode 2""",Derek Martinus,Kit Pedler,1966-10-15,DD,6.4,48,4,Second Doctor,Patrick Troughton
133,29,2.0,7,The Tenth Planet,"""Episode 3""",Derek Martinus,Kit Pedler and Gerry Davis,1966-10-22,DD,7.6,48,4,Second Doctor,Patrick Troughton
134,29,2.0,8,The Tenth Planet,"""Episode 4""†",Derek Martinus,Kit Pedler and Gerry Davis,1966-10-29,DD,7.5,47,4,Second Doctor,Patrick Troughton
135,30,3.0,9,The Power of the Daleks,"""Episode One""†",Christopher Barry,David Whitaker,1966-11-05,EE,7.9,43,4,Second Doctor,Patrick Troughton
136,30,3.0,10,The Power of the Daleks,"""Episode Two""†",Christopher Barry,David Whitaker,1966-11-12,EE,7.8,45,4,Second Doctor,Patrick Troughton
137,30,3.0,11,The Power of the Daleks,"""Episode Three""†",Christopher Barry,David Whitaker,1966-11-19,EE,7.5,44,4,Second Doctor,Patrick Troughton
138,30,3.0,12,The Power of the Daleks,"""Episode Four""†",Christopher Barry,David Whitaker,1966-11-26,EE,7.8,47,4,Second Doctor,Patrick Troughton
139,30,3.0,13,The Power of the Daleks,"""Episode Five""†",Christopher Barry,David Whitaker,1966-12-03,EE,8.0,48,4,Second Doctor,Patrick Troughton
140,30,3.0,14,The Power of the Daleks,"""Episode Six""†",Christopher Barry,David Whitaker,1966-12-10,EE,7.8,47,4,Second Doctor,Patrick Troughton
141,31,4.0,15,The Highlanders,"""Episode 1""†",Hugh David,Elwyn Jones and Gerry Davis,1966-12-17,FF,6.7,47,4,Second Doctor,Patrick Troughton
142,31,4.0,16,The Highlanders,"""Episode 2""†",Hugh David,Elwyn Jones and Gerry Davis,1966-12-24,FF,6.8,46,4,Second Doctor,Patrick Troughton
143,31,4.0,17,The Highlanders,"""Episode 3""†",Hugh David,Elwyn Jones and Gerry Davis,1966-12-31,FF,7.4,47,4,Second Doctor,Patrick Troughton
144,31,4.0,18,The Highlanders,"""Episode 4""†",Hugh David,Elwyn Jones and Gerry Davis,1967-01-07,FF,7.3,47,4,Second Doctor,Patrick Troughton
145,32,5.0,19,The Underwater Menace,"""Episode 1""†",Julia Smith,Geoffrey Orme,1967-01-14,GG,8.3,48,4,Second Doctor,Patrick Troughton
146,32,5.0,20,The Underwater Menace,"""Episode 2""",Julia Smith,Geoffrey Orme,1967-01-21,GG,7.5,46,4,Second Doctor,Patrick Troughton
147,32,5.0,21,The Underwater Menace,"""Episode 3""",Julia Smith,Geoffrey Orme,1967-01-28,GG,7.1,45,4,Second Doctor,Patrick Troughton
148,32,5.0,22,The Underwater Menace,"""Episode 4""†",Julia Smith,Geoffrey Orme,1967-02-04,GG,7.0,47,4,Second Doctor,Patrick Troughton
149,33,6.0,23,The Moonbase,"""Episode 1""†",Morris Barry,Kit Pedler,1967-02-11,HH,8.1,50,4,Second Doctor,Patrick Troughton
150,33,6.0,24,The Moonbase,"""Episode 2""",Morris Barry,Kit Pedler,1967-02-18,HH,8.9,49,4,Second Doctor,Patrick Troughton
151,33,6.0,25,The Moonbase,"""Episode 3""†",Morris Barry,Kit Pedler,1967-02-25,HH,8.2,53,4,Second Doctor,Patrick Troughton
152,33,6.0,26,The Moonbase,"""Episode 4""",Morris Barry,Kit Pedler,1967-03-04,HH,8.1,58,4,Second Doctor,Patrick Troughton
153,34,7.0,27,The Macra Terror,"""Episode 1""†",John Davies,Ian Stuart Black,1967-03-11,JJ,8.0,50,4,Second Doctor,Patrick Troughton
154,34,7.0,28,The Macra Terror,"""Episode 2""†",John Davies,Ian Stuart Black,1967-03-18,JJ,7.9,48,4,Second Doctor,Patrick Troughton
155,34,7.0,29,The Macra Terror,"""Episode 3""†",John Davies,Ian Stuart Black,1967-03-25,JJ,8.5,52,4,Second Doctor,Patrick Troughton
156,34,7.0,30,The Macra Terror,"""Episode 4""†",John Davies,Ian Stuart Black,1967-04-01,JJ,8.4,49,4,Second Doctor,Patrick Troughton
157,35,8.0,31,The Faceless Ones,"""Episode 1""",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-08,KK,8.0,51,4,Second Doctor,Patrick Troughton
158,35,8.0,32,The Faceless Ones,"""Episode 2""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-15,KK,6.4,50,4,Second Doctor,Patrick Troughton
159,35,8.0,33,The Faceless Ones,"""Episode 3""",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-22,KK,7.9,53,4,Second Doctor,Patrick Troughton
160,35,8.0,34,The Faceless Ones,"""Episode 4""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-04-29,KK,6.9,55,4,Second Doctor,Patrick Troughton
161,35,8.0,35,The Faceless Ones,"""Episode 5""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-05-06,KK,7.1,55,4,Second Doctor,Patrick Troughton
162,35,8.0,36,The Faceless Ones,"""Episode 6""†",Gerry Mill,David Ellis and Malcolm Hulke,1967-05-13,KK,8.0,52,4,Second Doctor,Patrick Troughton
163,36,9.0,37,The Evil of the Daleks,"""Episode 1""†",Derek Martinus,David Whitaker,1967-05-20,LL,8.1,51,4,Second Doctor,Patrick Troughton
164,36,9.0,38,The Evil of the Daleks,"""Episode 2""",Derek Martinus,David Whitaker,1967-05-27,LL,7.5,51,4,Second Doctor,Patrick Troughton
165,36,9.0,39,The Evil of the Daleks,"""Episode 3""†",Derek Martinus,David Whitaker,1967-06-03,LL,6.1,52,4,Second Doctor,Patrick Troughton
166,36,9.0,40,The Evil of the Daleks,"""Episode 4""†",Derek Martinus,David Whitaker,1967-06-10,LL,5.3,51,4,Second Doctor,Patrick Troughton
167,36,9.0,41,The Evil of the Daleks,"""Episode 5""†",Derek Martinus,David Whitaker,1967-06-17,LL,5.1,53,4,Second Doctor,Patrick Troughton
168,36,9.0,42,The Evil of the Daleks,"""Episode 6""†",Derek Martinus,David Whitaker,1967-06-24,LL,6.8,49,4,Second Doctor,Patrick Troughton
169,36,9.0,43,The Evil of the Daleks,"""Episode 7""†",Derek Martinus,David Whitaker,1967-07-01,LL,6.1,56,4,Second Doctor,Patrick Troughton
170,37,1.0,1,The Tomb of the Cybermen,"""Episode 1""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-02,MM,6.0,53,5,Second Doctor,Patrick Troughton
171,37,1.0,2,The Tomb of the Cybermen,"""Episode 2""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-09,MM,6.4,52,5,Second Doctor,Patrick Troughton
172,37,1.0,3,The Tomb of the Cybermen,"""Episode 3""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-16,MM,7.2,49,5,Second Doctor,Patrick Troughton
173,37,1.0,4,The Tomb of the Cybermen,"""Episode 4""",Morris Barry,Kit Pedler and Gerry Davis,1967-09-23,MM,7.4,50,5,Second Doctor,Patrick Troughton
174,38,2.0,5,The Abominable Snowmen,"""Episode One""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-09-30,NN,6.3,50,5,Second Doctor,Patrick Troughton
175,38,2.0,6,The Abominable Snowmen,"""Episode Two""",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-10-07,NN,6.0,52,5,Second Doctor,Patrick Troughton
176,38,2.0,7,The Abominable Snowmen,"""Episode Three""†",Gerald Blake,Mervyn Haisman and Henry Lincoln,1967-10-14,NN,7.1,51,5,Second Doctor,Patrick Troughton
